Variant ID,Round ID,Review Cycle,Source Asset ID,Source Video,Source Video Description,Date Posted,Time Posted,Day of Week,Phase,Test Variable,Variant Category,Exact Hook / Variant Wording,Modality,Country,Format Type,Video Length (sec),Predicted Best Performing Hook,Human Prediction Rank,Prediction Confidence,Prediction Rationale,Views 24h,3-Sec Retention % 24h,Avg Watch Time (sec) 24h,Watch % of Length 24h,Saves 24h,Shares 24h,Comments 24h,Follows from Reel 24h,Views 48h,3-Sec Retention % 48h,Avg Watch Time (sec) 48h,Watch % of Length 48h,Saves 48h,Shares 48h,Comments 48h,Follows from Reel 48h,Decision Score 48h,Promoted to Feed (Y/N),Date Promoted,Winner of Round (Y/N),Prediction Correct (Round),Views 7d,3-Sec Retention % 7d,Avg Watch Time (sec) 7d,Watch % of Length 7d,Saves 7d,Shares 7d,Comments 7d,Follows from Reel 7d,7d Distribution Context,Notes / Anomalies
R10V3,R10,Jul 6 – Jul 19,SRC-010,Soccer in the Square,An impromptu pickup soccer game in a public square becomes a character-led travel moment.,2026-07-07,12:00 PM,Tuesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: you say yes to one pickup game on vacation,Text overlay + matched opening audio,Mexico,Character / culture,34,Y,1,Medium,"Two treatments felt viable, but this one had the clearest immediate promise and cleanest first-frame fit.",83,55.3,12.1,35.5,0,0,0,0,127,53.4,12.1,35.7,1,1,0,0,46.4,Y,2026-07-09,Y,Y,993,47.8,10.8,31.8,5,6,0,0,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R10V4,R10,Jul 6 – Jul 19,SRC-010,Soccer in the Square,An impromptu pickup soccer game in a public square becomes a character-led travel moment.,2026-07-07,12:00 PM,Tuesday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The fastest way to meet people while traveling might be losing to them,Text overlay + matched opening audio,Mexico,Character / culture,34,N,2,Medium,,72,41.5,8.8,25.9,0,0,0,0,110,41.1,8.9,26.0,0,1,0,0,35.2,N,,N,Y,119,41.0,8.6,25.3,0,1,0,0,Trial-reel distribution only; not promoted,
R10V5,R10,Jul 6 – Jul 19,SRC-010,Soccer in the Square,An impromptu pickup soccer game in a public square becomes a character-led travel moment.,2026-07-07,12:00 PM,Tuesday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the nutmeg and immediate reaction],Existing visual/audio opening; hook layer removed,Mexico,Character / culture,34,N,4,Medium,,67,41.0,10.0,29.4,0,0,0,0,106,40.2,10.6,31.1,0,0,0,0,34.5,N,,N,Y,119,41.1,10.7,31.5,0,0,0,0,Trial-reel distribution only; not promoted,
R11V1,R11,Jul 6 – Jul 19,SRC-011,The 6 A.M. Beach Club,A deadpan morning sequence contrasting beach-club expectations with an empty sunrise setup.,2026-07-08,1:30 PM,Wednesday,Phase 1 — Hook,Hook Type,Credential,Harvard students arrive at a Rio beach club six hours too early,Text overlay + matched opening audio,Brazil,Humor / contrast,23,N,5,High,,127,52.4,7.8,34.0,0,1,0,0,191,53.9,7.7,33.4,1,3,0,0,46.9,N,,N,Y,219,53.7,7.5,32.5,1,3,0,0,Trial-reel distribution only; not promoted,
R11V2,R11,Jul 6 – Jul 19,SRC-011,The 6 A.M. Beach Club,A deadpan morning sequence contrasting beach-club expectations with an empty sunrise setup.,2026-07-08,1:30 PM,Wednesday,Phase 1 — Hook,Hook Type,Numbered / Specific,What a beach club looks like at 6:03 a.m.,Text overlay + matched opening audio,Brazil,Humor / contrast,23,N,2,High,,153,58.9,8.9,38.7,1,2,0,0,211,58.1,8.5,36.9,2,3,1,1,51.3,N,,N,Y,234,58.6,8.6,37.3,2,3,1,1,Trial-reel distribution only; not promoted,
R11V3,R11,Jul 6 – Jul 19,SRC-011,The 6 A.M. Beach Club,A deadpan morning sequence contrasting beach-club expectations with an empty sunrise setup.,2026-07-08,1:30 PM,Wednesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: you misunderstand what time “beach club” starts,Text overlay + matched opening audio,Brazil,Humor / contrast,23,N,4,High,,156,53.8,7.7,33.6,1,1,0,0,207,53.6,7.9,34.5,2,2,0,0,46.7,N,,N,Y,244,54.3,8.0,34.6,2,2,0,0,Trial-reel distribution only; not promoted,
R11V4,R11,Jul 6 – Jul 19,SRC-011,The 6 A.M. Beach Club,A deadpan morning sequence contrasting beach-club expectations with an empty sunrise setup.,2026-07-08,1:30 PM,Wednesday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Turns out the best time for a beach club is before the club part,Text overlay + matched opening audio,Brazil,Humor / contrast,23,N,3,High,,138,57.2,7.6,32.9,0,1,0,0,211,57.3,7.4,32.0,2,3,0,1,49.9,N,,N,Y,222,56.6,7.1,30.9,2,3,0,1,Trial-reel distribution only; not promoted,
R11V5,R11,Jul 6 – Jul 19,SRC-011,The 6 A.M. Beach Club,A deadpan morning sequence contrasting beach-club expectations with an empty sunrise setup.,2026-07-08,1:30 PM,Wednesday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on rows of empty chairs at sunrise],Existing visual/audio opening; hook layer removed,Brazil,Humor / contrast,23,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,140,62.5,8.5,36.9,1,1,0,0,211,63.4,8.8,38.2,3,2,0,0,54.9,Y,2026-07-10,Y,Y,1112,59.9,8.4,36.4,14,8,0,0,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R12V1,R12,Jul 6 – Jul 19,SRC-012,"One Street, Five Desserts",A one-street dessert crawl with five visually distinct stops and fast ratings.,2026-07-09,10:30 AM,Thursday,Phase 1 — Hook,Hook Type,Credential,Harvard students try five desserts without leaving one street in Kuala Lumpur,Text overlay + matched opening audio,Malaysia,Food / list,40,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,781,59.0,16.5,41.3,10,8,1,0,1099,59.5,15.9,39.7,16,13,3,1,52.7,Y,2026-07-11,Y,Y,10204,55.3,14.1,35.2,118,102,26,7,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R12V2,R12,Jul 6 – Jul 19,SRC-012,"One Street, Five Desserts",A one-street dessert crawl with five visually distinct stops and fast ratings.,2026-07-09,10:30 AM,Thursday,Phase 1 — Hook,Hook Type,Numbered / Specific,"5 desserts, 1 street, and one obvious winner",Text overlay + matched opening audio,Malaysia,Food / list,40,N,3,High,,556,48.9,12.0,30.0,5,3,2,0,888,47.3,12.7,31.7,10,6,3,1,41.7,N,,N,Y,980,48.1,12.4,30.9,11,6,3,1,Trial-reel distribution only; not promoted,
R12V3,R12,Jul 6 – Jul 19,SRC-012,"One Street, Five Desserts",A one-street dessert crawl with five visually distinct stops and fast ratings.,2026-07-09,10:30 AM,Thursday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: every storefront on this block is dessert,Text overlay + matched opening audio,Malaysia,Food / list,40,N,5,High,,672,47.9,12.7,31.7,5,4,0,2,937,46.8,11.9,29.9,9,8,1,5,41.4,N,,N,Y,996,47.6,12.3,30.8,9,8,1,5,Trial-reel distribution only; not promoted,
R12V4,R12,Jul 6 – Jul 19,SRC-012,"One Street, Five Desserts",A one-street dessert crawl with five visually distinct stops and fast ratings.,2026-07-09,10:30 AM,Thursday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,You do not need a citywide food tour when one street does this,Text overlay + matched opening audio,Malaysia,Food / list,40,N,2,High,,650,43.6,10.9,27.3,3,1,3,0,942,44.6,11.6,29.1,5,4,4,1,38.4,N,,N,Y,1133,45.4,11.8,29.5,5,5,4,1,Trial-reel distribution only; not promoted,
R12V5,R12,Jul 6 – Jul 19,SRC-012,"One Street, Five Desserts",A one-street dessert crawl with five visually distinct stops and fast ratings.,2026-07-09,10:30 AM,Thursday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the five-dessert overhead lineup],Existing visual/audio opening; hook layer removed,Malaysia,Food / list,40,N,4,High,,605,46.8,11.5,28.8,3,8,1,0,903,46.0,12.1,30.3,5,14,3,1,40.8,N,,N,Y,994,46.0,12.1,30.4,5,15,3,1,Trial-reel distribution only; not promoted,
R13V1,R13,Jul 6 – Jul 19,SRC-013,The Last Cable Car,A late-day mountain descent builds tension around catching the final cable car.,2026-07-10,12:00 PM,Friday,Phase 1 — Hook,Hook Type,Credential,Two Harvard students race the last cable car down a Swiss mountain,Text overlay + matched opening audio,Switzerland,Tension / scenic,28,N,2,Medium,,271,45.9,6.5,23.1,2,1,0,0,425,45.7,6.2,22.0,4,2,0,1,38.5,N,,N,Y,458,46.1,6.0,21.5,4,2,0,1,Trial-reel distribution only; not promoted,
R13V2,R13,Jul 6 – Jul 19,SRC-013,The Last Cable Car,A late-day mountain descent builds tension around catching the final cable car.,2026-07-10,12:00 PM,Friday,Phase 1 — Hook,Hook Type,Numbered / Specific,11 minutes to make the final cable car,Text overlay + matched opening audio,Switzerland,Tension / scenic,28,Y,1,Medium,"Two treatments felt viable, but this one had the clearest immediate promise and cleanest first-frame fit.",322,57.9,8.9,31.9,3,2,0,1,432,57.5,8.4,30.0,6,4,1,2,49.6,Y,2026-07-12,Y,Y,2568,54.2,8.0,28.6,23,15,5,7,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R13V3,R13,Jul 6 – Jul 19,SRC-013,The Last Cable Car,A late-day mountain descent builds tension around catching the final cable car.,2026-07-10,12:00 PM,Friday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: the mountain closes in 11 minutes and you are still hiking,Text overlay + matched opening audio,Switzerland,Tension / scenic,28,N,3,Medium,,269,49.6,6.5,23.2,2,1,0,0,379,48.2,6.9,24.6,4,3,1,1,41.2,N,,N,Y,428,48.5,7.2,25.7,4,3,1,1,Trial-reel distribution only; not promoted,
R13V4,R13,Jul 6 – Jul 19,SRC-013,The Last Cable Car,A late-day mountain descent builds tension around catching the final cable car.,2026-07-10,12:00 PM,Friday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Golden hour is less relaxing when it is also your deadline,Text overlay + matched opening audio,Switzerland,Tension / scenic,28,N,4,Medium,,290,45.4,6.9,24.6,1,1,0,0,394,45.5,6.5,23.2,2,2,0,2,38.5,N,,N,Y,446,44.6,6.6,23.5,2,2,0,2,Trial-reel distribution only; not promoted,
R13V5,R13,Jul 6 – Jul 19,SRC-013,The Last Cable Car,A late-day mountain descent builds tension around catching the final cable car.,2026-07-10,12:00 PM,Friday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the departure board countdown],Existing visual/audio opening; hook layer removed,Switzerland,Tension / scenic,28,N,5,Medium,,249,40.2,5.9,21.0,1,1,0,0,381,38.7,6.3,22.4,2,3,0,0,33.2,N,,N,Y,446,38.1,6.0,21.3,2,3,0,0,Trial-reel distribution only; not promoted,
R14V1,R14,Jul 6 – Jul 19,SRC-014,Apartment With a Secret Roof,A budget apartment tour ends with an unexpected rooftop reveal.,2026-07-11,1:30 PM,Saturday,Phase 1 — Hook,Hook Type,Credential,Harvard students book the cheapest apartment we could find in Valencia — then find the roof,Text overlay + matched opening audio,Spain,Stay / reveal,26,N,4,High,,294,57.0,9.5,36.6,2,2,0,0,473,55.8,9.8,37.8,4,4,1,1,48.9,N,,N,Y,515,56.7,10.1,38.7,4,4,1,1,Trial-reel distribution only; not promoted,
R14V2,R14,Jul 6 – Jul 19,SRC-014,Apartment With a Secret Roof,A budget apartment tour ends with an unexpected rooftop reveal.,2026-07-11,1:30 PM,Saturday,Phase 1 — Hook,Hook Type,Numbered / Specific,We paid €41 each for this apartment and did not know about the roof,Text overlay + matched opening audio,Spain,Stay / reveal,26,N,3,High,,283,52.7,8.7,33.4,2,1,0,0,450,53.0,8.5,32.8,4,2,0,0,45.4,N,,N,Y,517,53.2,8.3,31.7,4,2,0,0,Trial-reel distribution only; not promoted,
R14V3,R14,Jul 6 – Jul 19,SRC-014,Apartment With a Secret Roof,A budget apartment tour ends with an unexpected rooftop reveal.,2026-07-11,1:30 PM,Saturday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your budget apartment comes with the best view in the neighborhood,Text overlay + matched opening audio,Spain,Stay / reveal,26,N,2,High,,301,55.6,9.5,36.5,1,1,1,0,458,57.3,9.7,37.2,4,2,2,1,49.5,N,,N,Y,504,58.0,9.5,36.4,4,2,2,1,Trial-reel distribution only; not promoted,
R14V4,R14,Jul 6 – Jul 19,SRC-014,Apartment With a Secret Roof,A budget apartment tour ends with an unexpected rooftop reveal.,2026-07-11,1:30 PM,Saturday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Stop judging a stay by the lobby,Text overlay + matched opening audio,Spain,Stay / reveal,26,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,361,64.1,10.3,39.7,5,2,0,1,552,65.0,10.4,39.8,8,4,0,3,56.7,Y,2026-07-13,Y,Y,3435,62.7,9.6,36.7,34,20,0,15,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R14V5,R14,Jul 6 – Jul 19,SRC-014,Apartment With a Secret Roof,A budget apartment tour ends with an unexpected rooftop reveal.,2026-07-11,1:30 PM,Saturday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the rooftop door swinging open],Existing visual/audio opening; hook layer removed,Spain,Stay / reveal,26,N,5,High,,303,49.8,7.9,30.3,1,1,1,1,436,50.5,7.8,30.2,2,2,2,2,43.2,N,,N,Y,509,50.3,7.7,29.6,2,2,2,2,Trial-reel distribution only; not promoted,
R15V1,R15,Jul 6 – Jul 19,SRC-015,Museum Speedrun,A timed challenge to see how much of a major museum can be meaningfully experienced in under an hour.,2026-07-12,10:30 AM,Sunday,Phase 1 — Hook,Hook Type,Credential,Harvard students attempt a 55-minute museum speedrun in Rotterdam,Text overlay + matched opening audio,Netherlands,Humor / challenge,37,Y,1,Low,No hook had an obvious edge before posting; this was a preference rather than a conviction call.,450,59.7,14.5,39.2,6,2,1,2,605,59.7,14.2,38.4,9,4,2,4,52.7,N,,N,N,693,60.6,14.1,38.2,9,4,2,4,Trial-reel distribution only; not promoted,
R15V2,R15,Jul 6 – Jul 19,SRC-015,Museum Speedrun,A timed challenge to see how much of a major museum can be meaningfully experienced in under an hour.,2026-07-12,10:30 AM,Sunday,Phase 1 — Hook,Hook Type,Numbered / Specific,Can you actually enjoy a museum in 55 minutes?,Text overlay + matched opening audio,Netherlands,Humor / challenge,37,N,4,Low,,422,55.6,13.8,37.3,4,4,0,0,630,56.9,13.4,36.2,9,8,2,1,50.3,N,,N,N,682,57.5,13.5,36.4,10,8,2,1,Trial-reel distribution only; not promoted,
R15V3,R15,Jul 6 – Jul 19,SRC-015,Museum Speedrun,A timed challenge to see how much of a major museum can be meaningfully experienced in under an hour.,2026-07-12,10:30 AM,Sunday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your train leaves in one hour but the museum is finally open,Text overlay + matched opening audio,Netherlands,Humor / challenge,37,N,3,Low,,459,61.4,13.8,37.4,2,6,2,0,658,61.6,13.9,37.6,6,10,3,0,53.6,Y,2026-07-14,Y,N,6061,59.4,12.2,33.0,43,68,19,0,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R15V4,R15,Jul 6 – Jul 19,SRC-015,Museum Speedrun,A timed challenge to see how much of a major museum can be meaningfully experienced in under an hour.,2026-07-12,10:30 AM,Sunday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,You do not need all afternoon to make a museum worth it,Text overlay + matched opening audio,Netherlands,Humor / challenge,37,N,2,Low,,425,56.1,13.6,36.7,4,2,0,0,615,54.2,12.9,34.9,7,6,2,1,47.6,N,,N,N,728,54.5,12.5,33.7,7,7,2,1,Trial-reel distribution only; not promoted,
R15V5,R15,Jul 6 – Jul 19,SRC-015,Museum Speedrun,A timed challenge to see how much of a major museum can be meaningfully experienced in under an hour.,2026-07-12,10:30 AM,Sunday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the stopwatch and museum entrance],Existing visual/audio opening; hook layer removed,Netherlands,Humor / challenge,37,N,5,Low,,349,50.0,10.2,27.5,2,5,1,0,505,49.5,10.9,29.5,5,8,2,0,43.5,N,,N,N,565,49.5,10.9,29.3,5,8,2,0,Trial-reel distribution only; not promoted,
R16V1,R16,Jul 6 – Jul 19,SRC-016,Dinner on the Overnight Train,A sleeper-train dinner ranking that mixes practical travel detail with humor.,2026-07-13,12:00 PM,Monday,Phase 1 — Hook,Hook Type,Credential,Harvard students rate everything we can eat on an overnight train to Vienna,Text overlay + matched opening audio,Austria,Transit / food,32,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,438,60.6,9.5,29.8,1,6,1,1,673,60.7,8.9,27.9,3,10,2,2,51.0,Y,2026-07-15,Y,Y,7137,56.4,8.3,25.9,27,81,17,18,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R16V2,R16,Jul 6 – Jul 19,SRC-016,Dinner on the Overnight Train,A sleeper-train dinner ranking that mixes practical travel detail with humor.,2026-07-13,12:00 PM,Monday,Phase 1 — Hook,Hook Type,Numbered / Specific,We ranked 6 things from an overnight-train dinner cart,Text overlay + matched opening audio,Austria,Transit / food,32,N,4,High,,313,48.4,6.6,20.7,3,3,0,1,490,48.3,7.2,22.6,5,5,1,2,41.3,N,,N,Y,557,48.9,7.5,23.6,5,5,1,2,Trial-reel distribution only; not promoted,
R16V3,R16,Jul 6 – Jul 19,SRC-016,Dinner on the Overnight Train,A sleeper-train dinner ranking that mixes practical travel detail with humor.,2026-07-13,12:00 PM,Monday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your dinner reservation is moving at 120 km/h,Text overlay + matched opening audio,Austria,Transit / food,32,N,3,High,,357,48.5,6.9,21.6,2,5,0,0,570,49.1,7.3,22.9,5,9,1,0,41.9,N,,N,Y,694,50.1,7.3,22.8,6,10,1,0,Trial-reel distribution only; not promoted,
R16V4,R16,Jul 6 – Jul 19,SRC-016,Dinner on the Overnight Train,A sleeper-train dinner ranking that mixes practical travel detail with humor.,2026-07-13,12:00 PM,Monday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Train food is better when your expectations are at rock bottom,Text overlay + matched opening audio,Austria,Transit / food,32,N,5,High,,374,44.1,5.6,17.5,3,2,0,0,537,43.3,5.3,16.5,5,5,1,1,36.2,N,,N,Y,597,42.3,5.1,16.0,5,5,1,1,Trial-reel distribution only; not promoted,
R16V5,R16,Jul 6 – Jul 19,SRC-016,Dinner on the Overnight Train,A sleeper-train dinner ranking that mixes practical travel detail with humor.,2026-07-13,12:00 PM,Monday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the tray wobbling as the train turns],Existing visual/audio opening; hook layer removed,Austria,Transit / food,32,N,2,High,,326,46.9,6.9,21.6,2,3,0,0,488,47.4,6.7,20.9,4,6,1,1,40.2,N,,N,Y,567,48.1,6.7,20.9,4,6,1,1,Trial-reel distribution only; not promoted,
R17V1,R17,Jul 20 – Aug 2,SRC-017,The Market That Closes at Noon,A morning-only market visit framed around why arriving late changes the entire experience.,2026-07-20,11:00 AM,Monday,Phase 1 — Hook,Hook Type,Credential,Harvard travelers wake up early for the market tourists keep missing in Rabat,Text overlay + matched opening audio,Morocco,Market / urgency,35,N,2,High,,455,53.3,13.9,39.6,4,2,0,1,585,54.9,13.4,38.3,8,5,2,3,49.2,N,,N,Y,675,55.9,13.4,38.3,8,5,2,3,Trial-reel distribution only; not promoted,
R17V2,R17,Jul 20 – Aug 2,SRC-017,The Market That Closes at Noon,A morning-only market visit framed around why arriving late changes the entire experience.,2026-07-20,11:00 AM,Monday,Phase 1 — Hook,Hook Type,Numbered / Specific,You have 3 hours to see this market before it disappears,Text overlay + matched opening audio,Morocco,Market / urgency,35,N,5,High,,426,57.9,13.3,38.0,2,5,0,2,685,56.2,13.8,39.4,4,11,1,4,50.3,N,,N,Y,716,55.4,13.9,39.6,4,11,1,4,Trial-reel distribution only; not promoted,
R17V3,R17,Jul 20 – Aug 2,SRC-017,The Market That Closes at Noon,A morning-only market visit framed around why arriving late changes the entire experience.,2026-07-20,11:00 AM,Monday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: the market is basically gone by lunch,Text overlay + matched opening audio,Morocco,Market / urgency,35,N,3,High,,438,52.2,13.0,37.0,3,4,1,1,633,53.0,12.6,35.9,6,9,2,3,47.5,N,,N,Y,708,52.3,12.2,34.9,6,9,2,3,Trial-reel distribution only; not promoted,
R17V4,R17,Jul 20 – Aug 2,SRC-017,The Market That Closes at Noon,A morning-only market visit framed around why arriving late changes the entire experience.,2026-07-20,11:00 AM,Monday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Sleeping in is the expensive mistake here,Text overlay + matched opening audio,Morocco,Market / urgency,35,N,4,High,,521,54.5,14.2,40.5,4,3,0,1,669,54.6,13.6,38.8,9,7,2,3,49.1,N,,N,Y,736,54.7,13.4,38.4,9,7,2,3,Trial-reel distribution only; not promoted,
R17V5,R17,Jul 20 – Aug 2,SRC-017,The Market That Closes at Noon,A morning-only market visit framed around why arriving late changes the entire experience.,2026-07-20,11:00 AM,Monday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on shutters rapidly closing down the lane],Existing visual/audio opening; hook layer removed,Morocco,Market / urgency,35,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,556,65.3,14.9,42.7,5,3,1,2,734,65.8,15.4,44.0,10,6,2,3,57.9,Y,2026-07-22,Y,Y,7874,63.7,13.7,39.2,82,46,17,25,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R18V1,R18,Jul 20 – Aug 2,SRC-018,Swimming Under the Bridge,A hot-day swim spot framed by a dramatic bridge and local routine.,2026-07-21,12:30 PM,Tuesday,Phase 1 — Hook,Hook Type,Credential,Harvard students find the swimming spot locals use under Mostar’s most famous bridge,Text overlay + matched opening audio,Bosnia & Herzegovina,Adventure / local tip,21,N,5,Medium,,712,36.8,5.4,25.6,1,4,2,1,958,38.0,5.2,24.9,2,8,3,3,33.2,N,,N,Y,1120,38.6,5.4,25.9,2,8,3,3,Trial-reel distribution only; not promoted,
R18V2,R18,Jul 20 – Aug 2,SRC-018,Swimming Under the Bridge,A hot-day swim spot framed by a dramatic bridge and local routine.,2026-07-21,12:30 PM,Tuesday,Phase 1 — Hook,Hook Type,Numbered / Specific,The water was 58°F and we still jumped in,Text overlay + matched opening audio,Bosnia & Herzegovina,Adventure / local tip,21,N,4,Medium,,716,40.8,5.9,28.0,2,6,0,1,928,41.2,5.4,25.8,4,10,2,2,36.0,N,,N,Y,1094,40.1,5.5,26.3,4,10,2,2,Trial-reel distribution only; not promoted,
R18V3,R18,Jul 20 – Aug 2,SRC-018,Swimming Under the Bridge,A hot-day swim spot framed by a dramatic bridge and local routine.,2026-07-21,12:30 PM,Tuesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your walking tour turns into a swim break,Text overlay + matched opening audio,Bosnia & Herzegovina,Adventure / local tip,21,Y,1,Medium,"Two treatments felt viable, but this one had the clearest immediate promise and cleanest first-frame fit.",844,53.2,6.7,31.8,4,8,2,2,1208,51.7,7.0,33.5,7,18,4,6,45.8,Y,2026-07-23,Y,Y,5706,44.7,6.7,31.7,27,63,15,18,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R18V4,R18,Jul 20 – Aug 2,SRC-018,Swimming Under the Bridge,A hot-day swim spot framed by a dramatic bridge and local routine.,2026-07-21,12:30 PM,Tuesday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The best view of this bridge is from the water,Text overlay + matched opening audio,Bosnia & Herzegovina,Adventure / local tip,21,N,3,Medium,,719,43.4,5.5,26.4,2,2,2,1,1061,42.3,5.4,25.8,4,5,3,2,36.1,N,,N,Y,1140,42.8,5.3,25.1,4,5,3,2,Trial-reel distribution only; not promoted,
R18V5,R18,Jul 20 – Aug 2,SRC-018,Swimming Under the Bridge,A hot-day swim spot framed by a dramatic bridge and local routine.,2026-07-21,12:30 PM,Tuesday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start underwater looking up at the bridge],Existing visual/audio opening; hook layer removed,Bosnia & Herzegovina,Adventure / local tip,21,N,2,Medium,,752,36.5,5.4,25.6,2,3,1,2,986,38.2,5.0,23.8,6,6,3,4,33.4,N,,N,Y,1131,38.3,4.9,23.4,6,7,3,4,Trial-reel distribution only; not promoted,
R19V1,R19,Jul 20 – Aug 2,SRC-019,The Quiet Side of the Island,A scooter ride to a less-visited side of an island contrasts crowded and quiet beaches.,2026-07-22,2:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Credential,Harvard students drive 40 minutes past the famous beach to see what everyone skips,Text overlay + matched opening audio,Greece,Scenic / recommendation,30,N,3,High,,242,44.9,7.8,26.1,0,2,0,0,312,43.8,7.4,24.5,1,3,1,0,37.2,N,,N,Y,361,44.0,7.3,24.4,1,3,1,0,Trial-reel distribution only; not promoted,
R19V2,R19,Jul 20 – Aug 2,SRC-019,The Quiet Side of the Island,A scooter ride to a less-visited side of an island contrasts crowded and quiet beaches.,2026-07-22,2:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Numbered / Specific,"2 beaches, 40 minutes apart, completely different trip",Text overlay + matched opening audio,Greece,Scenic / recommendation,30,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,301,56.0,10.7,35.7,1,2,0,1,403,57.3,10.2,34.2,2,5,1,2,49.6,Y,2026-07-24,Y,Y,2536,52.9,9.6,32.1,10,24,4,8,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R19V3,R19,Jul 20 – Aug 2,SRC-019,The Quiet Side of the Island,A scooter ride to a less-visited side of an island contrasts crowded and quiet beaches.,2026-07-22,2:00 PM,Wednesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: you keep driving after everyone else parks,Text overlay + matched opening audio,Greece,Scenic / recommendation,30,N,2,High,,239,45.8,8.9,29.5,2,1,0,0,350,45.3,8.5,28.3,4,2,1,0,39.4,N,,N,Y,393,44.1,8.7,29.0,4,2,1,0,Trial-reel distribution only; not promoted,
R19V4,R19,Jul 20 – Aug 2,SRC-019,The Quiet Side of the Island,A scooter ride to a less-visited side of an island contrasts crowded and quiet beaches.,2026-07-22,2:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The famous beach is not the reason we would come back,Text overlay + matched opening audio,Greece,Scenic / recommendation,30,N,5,High,,252,47.9,8.0,26.6,1,1,0,0,326,48.2,8.0,26.6,2,2,1,2,41.3,N,,N,Y,342,47.0,8.3,27.5,2,2,1,2,Trial-reel distribution only; not promoted,
R19V5,R19,Jul 20 – Aug 2,SRC-019,The Quiet Side of the Island,A scooter ride to a less-visited side of an island contrasts crowded and quiet beaches.,2026-07-22,2:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the empty cove reveal after the turn],Existing visual/audio opening; hook layer removed,Greece,Scenic / recommendation,30,N,4,High,,243,44.1,7.7,25.7,0,1,0,0,357,45.6,8.2,27.3,1,2,1,0,38.6,N,,N,Y,432,46.1,7.8,26.1,1,2,1,0,Trial-reel distribution only; not promoted,
R20V1,R20,Jul 20 – Aug 2,SRC-020,The Wrong Menu Translation,A translation mistake leads to an unexpected order and reaction-driven food sequence.,2026-07-23,11:00 AM,Thursday,Phase 1 — Hook,Hook Type,Credential,Harvard students trust one translated menu line in Osaka and order the wrong thing,Text overlay + matched opening audio,Japan,Humor / food,25,N,3,High,,255,48.9,6.2,24.9,2,2,0,0,338,48.0,5.7,22.9,3,3,0,0,40.5,N,,N,Y,356,47.5,5.6,22.5,3,3,0,0,Trial-reel distribution only; not promoted,
